local_time,y_true,y_hat
2026-07-04T10:00:00+10:00,719.8399014001234,735.1928316338882
2026-07-04T11:00:00+10:00,688.9389879905318,689.9764245935723
2026-07-04T12:00:00+10:00,668.5350826269238,664.2850681755372
2026-07-04T13:00:00+10:00,687.7675828955297,665.8551919375936
2026-07-04T14:00:00+10:00,704.7471384043481,720.4769126405397
2026-07-04T15:00:00+10:00,742.8024606336503,733.3726832073443
2026-07-04T16:00:00+10:00,765.2577751208408,761.5444853805802
2026-07-04T17:00:00+10:00,702.2990498314991,733.2781187735756
2026-07-04T18:00:00+10:00,695.5614078759539,697.0316094648157
2026-07-04T19:00:00+10:00,754.6493104814631,723.0711974813964
2026-07-04T20:00:00+10:00,791.8138782611321,780.5551710844423
2026-07-04T21:00:00+10:00,877.0890668375013,845.7024176709045
2026-07-04T22:00:00+10:00,941.15964417001,897.6923940128263
2026-07-04T23:00:00+10:00,943.5619105858513,963.1163173713467
2026-07-05T00:00:00+10:00,937.0460678101424,968.776609571483
2026-07-05T01:00:00+10:00,953.702896041136,960.3083575849066
2026-07-05T02:00:00+10:00,960.5150458424396,967.9702321465919
2026-07-05T03:00:00+10:00,938.0603375180208,969.603577825642
2026-07-05T04:00:00+10:00,944.9050176745218,948.1424674476132
2026-07-05T05:00:00+10:00,923.4820013195946,946.2223800908158
2026-07-05T06:00:00+10:00,922.9020930902004,875.8114508052356
2026-07-05T07:00:00+10:00,876.884632569061,880.2847253695217
2026-07-05T08:00:00+10:00,815.9089974537897,818.2738512372696
2026-07-05T09:00:00+10:00,715.6515502870806,756.8287575457113
2026-07-05T10:00:00+10:00,679.4074655314495,683.7405300679578
2026-07-05T11:00:00+10:00,615.0118849547121,670.4214237789856
2026-07-05T12:00:00+10:00,544.4692252317816,608.1752367535771
2026-07-05T13:00:00+10:00,527.6588993855374,537.6639940933845
2026-07-05T14:00:00+10:00,580.8394536225995,538.8452606271538
2026-07-05T15:00:00+10:00,654.1424524770108,652.3745556226054
2026-07-05T16:00:00+10:00,735.8199851188156,697.9691853539755
2026-07-05T17:00:00+10:00,698.5998114724484,709.978375364519
2026-07-05T18:00:00+10:00,686.5414955105647,700.3221621464871
2026-07-05T19:00:00+10:00,710.0868483845268,710.5633306258708
2026-07-05T20:00:00+10:00,741.840008777528,731.9694098775105
2026-07-05T21:00:00+10:00,749.4903929483322,782.742645148209
2026-07-05T22:00:00+10:00,798.3053003735871,777.3919877639333
2026-07-05T23:00:00+10:00,828.6264668053817,829.95646344058
2026-07-06T00:00:00+10:00,859.216874277846,856.0613624879654
2026-07-06T01:00:00+10:00,893.3099963419255,877.6161517978604
2026-07-06T02:00:00+10:00,911.0575301427808,923.6330050857657
2026-07-06T03:00:00+10:00,933.9465588587047,926.8969409711458
2026-07-06T04:00:00+10:00,922.9496931888588,941.6912265558796
2026-07-06T05:00:00+10:00,896.5656320982623,906.6180188008301
2026-07-06T06:00:00+10:00,833.5646806632161,829.1704307793244
2026-07-06T07:00:00+10:00,754.2306770574519,758.4732722581005
2026-07-06T08:00:00+10:00,657.6454385817091,720.6724633656206
2026-07-06T09:00:00+10:00,697.2434426135242,617.607139601214
2026-07-06T10:00:00+10:00,694.6267564705028,683.341941969578
2026-07-06T11:00:00+10:00,679.2780841686808,669.2341896510966
2026-07-06T12:00:00+10:00,682.414754250217,664.7625001600362
2026-07-06T13:00:00+10:00,690.3479374374326,694.032547315165
2026-07-06T14:00:00+10:00,713.9393286931692,707.7364140475712
2026-07-06T15:00:00+10:00,752.8573687788705,738.5085376342786
2026-07-06T16:00:00+10:00,825.692709269195,759.4701749415444
2026-07-06T17:00:00+10:00,771.1496758655551,773.9857351788828
2026-07-06T18:00:00+10:00,738.7059000657233,735.0636202434918
2026-07-06T19:00:00+10:00,799.0538534901845,757.534649222129
2026-07-06T20:00:00+10:00,824.7583453698305,836.6632007836233
2026-07-06T21:00:00+10:00,872.1574415055528,861.2195622247134
2026-07-06T22:00:00+10:00,887.3630136132059,899.0443475532452
2026-07-06T23:00:00+10:00,929.5219822740354,919.3990017674001
2026-07-07T00:00:00+10:00,977.3121120213876,942.5701301850463
2026-07-07T01:00:00+10:00,1024.9093878466515,993.0628858241827
2026-07-07T02:00:00+10:00,1045.3402558475966,1040.8410879575408
