forecast_id,target_date,local_time,forecast_step,intensity_hat,published_at_local
CCL-20260818,2026-08-18,2026-08-18T00:00:00+10:00,1,857.7621581871405,2026-08-18T07:39:09.613633+10:00
CCL-20260818,2026-08-18,2026-08-18T01:00:00+10:00,2,878.8263001907558,2026-08-18T07:39:09.613633+10:00
CCL-20260818,2026-08-18,2026-08-18T02:00:00+10:00,3,907.6759018087943,2026-08-18T07:39:09.613633+10:00
CCL-20260818,2026-08-18,2026-08-18T03:00:00+10:00,4,920.0110349643488,2026-08-18T07:39:09.613633+10:00
CCL-20260818,2026-08-18,2026-08-18T04:00:00+10:00,5,937.7770669342341,2026-08-18T07:39:09.613633+10:00
CCL-20260818,2026-08-18,2026-08-18T05:00:00+10:00,6,916.5827982635581,2026-08-18T07:39:09.613633+10:00
CCL-20260818,2026-08-18,2026-08-18T06:00:00+10:00,7,854.2892615619711,2026-08-18T07:39:09.613633+10:00
CCL-20260818,2026-08-18,2026-08-18T07:00:00+10:00,8,760.2786422807409,2026-08-18T07:39:09.613633+10:00
CCL-20260818,2026-08-18,2026-08-18T08:00:00+10:00,9,722.8096256649377,2026-08-18T07:39:09.613633+10:00
CCL-20260818,2026-08-18,2026-08-18T09:00:00+10:00,10,713.0381946083168,2026-08-18T07:39:09.613633+10:00
CCL-20260818,2026-08-18,2026-08-18T10:00:00+10:00,11,695.8318231422908,2026-08-18T07:39:09.613633+10:00
CCL-20260818,2026-08-18,2026-08-18T11:00:00+10:00,12,682.5497487335788,2026-08-18T07:39:09.613633+10:00
CCL-20260818,2026-08-18,2026-08-18T12:00:00+10:00,13,654.7548702407339,2026-08-18T07:39:09.613633+10:00
CCL-20260818,2026-08-18,2026-08-18T13:00:00+10:00,14,659.5345678143049,2026-08-18T07:39:09.613633+10:00
CCL-20260818,2026-08-18,2026-08-18T14:00:00+10:00,15,682.9529269338113,2026-08-18T07:39:09.613633+10:00
CCL-20260818,2026-08-18,2026-08-18T15:00:00+10:00,16,715.4177799829021,2026-08-18T07:39:09.613633+10:00
CCL-20260818,2026-08-18,2026-08-18T16:00:00+10:00,17,748.1405161040685,2026-08-18T07:39:09.613633+10:00
CCL-20260818,2026-08-18,2026-08-18T17:00:00+10:00,18,722.4233571615039,2026-08-18T07:39:09.613633+10:00
CCL-20260818,2026-08-18,2026-08-18T18:00:00+10:00,19,697.2884883828565,2026-08-18T07:39:09.613633+10:00
CCL-20260818,2026-08-18,2026-08-18T19:00:00+10:00,20,706.3321522592623,2026-08-18T07:39:09.613633+10:00
CCL-20260818,2026-08-18,2026-08-18T20:00:00+10:00,21,731.9845617409112,2026-08-18T07:39:09.613633+10:00
CCL-20260818,2026-08-18,2026-08-18T21:00:00+10:00,22,764.3229842544038,2026-08-18T07:39:09.613633+10:00
CCL-20260818,2026-08-18,2026-08-18T22:00:00+10:00,23,816.4462869200132,2026-08-18T07:39:09.613633+10:00
CCL-20260818,2026-08-18,2026-08-18T23:00:00+10:00,24,836.7600353319013,2026-08-18T07:39:09.613633+10:00
