forecast_id,target_date,local_time,forecast_step,intensity_hat,published_at_local
CCL-20260712,2026-07-12,2026-07-12T00:00:00+10:00,1,638.8306092636876,2026-07-16T22:38:46.540992+10:00
CCL-20260712,2026-07-12,2026-07-12T01:00:00+10:00,2,622.4779103601846,2026-07-16T22:38:46.540992+10:00
CCL-20260712,2026-07-12,2026-07-12T02:00:00+10:00,3,618.6596123484544,2026-07-16T22:38:46.540992+10:00
CCL-20260712,2026-07-12,2026-07-12T03:00:00+10:00,4,618.1623455466096,2026-07-16T22:38:46.540992+10:00
CCL-20260712,2026-07-12,2026-07-12T04:00:00+10:00,5,614.1130802882246,2026-07-16T22:38:46.540992+10:00
CCL-20260712,2026-07-12,2026-07-12T05:00:00+10:00,6,615.9099628900339,2026-07-16T22:38:46.540992+10:00
CCL-20260712,2026-07-12,2026-07-12T06:00:00+10:00,7,623.7864009934098,2026-07-16T22:38:46.540992+10:00
CCL-20260712,2026-07-12,2026-07-12T07:00:00+10:00,8,628.9288582132367,2026-07-16T22:38:46.540992+10:00
CCL-20260712,2026-07-12,2026-07-12T08:00:00+10:00,9,618.9518500222663,2026-07-16T22:38:46.540992+10:00
CCL-20260712,2026-07-12,2026-07-12T09:00:00+10:00,10,613.3337615887557,2026-07-16T22:38:46.540992+10:00
CCL-20260712,2026-07-12,2026-07-12T10:00:00+10:00,11,601.5959356151559,2026-07-16T22:38:46.540992+10:00
CCL-20260712,2026-07-12,2026-07-12T11:00:00+10:00,12,585.3674363438632,2026-07-16T22:38:46.540992+10:00
CCL-20260712,2026-07-12,2026-07-12T12:00:00+10:00,13,569.9106750870736,2026-07-16T22:38:46.540992+10:00
CCL-20260712,2026-07-12,2026-07-12T13:00:00+10:00,14,541.8931282939357,2026-07-16T22:38:46.540992+10:00
CCL-20260712,2026-07-12,2026-07-12T14:00:00+10:00,15,528.6130919567515,2026-07-16T22:38:46.540992+10:00
CCL-20260712,2026-07-12,2026-07-12T15:00:00+10:00,16,559.5025152072822,2026-07-16T22:38:46.540992+10:00
CCL-20260712,2026-07-12,2026-07-12T16:00:00+10:00,17,575.9419673461792,2026-07-16T22:38:46.540992+10:00
CCL-20260712,2026-07-12,2026-07-12T17:00:00+10:00,18,593.8453277411755,2026-07-16T22:38:46.540992+10:00
CCL-20260712,2026-07-12,2026-07-12T18:00:00+10:00,19,601.711042281086,2026-07-16T22:38:46.540992+10:00
CCL-20260712,2026-07-12,2026-07-12T19:00:00+10:00,20,620.1069545087876,2026-07-16T22:38:46.540992+10:00
CCL-20260712,2026-07-12,2026-07-12T20:00:00+10:00,21,648.8032096616308,2026-07-16T22:38:46.540992+10:00
CCL-20260712,2026-07-12,2026-07-12T21:00:00+10:00,22,677.7629072546792,2026-07-16T22:38:46.540992+10:00
CCL-20260712,2026-07-12,2026-07-12T22:00:00+10:00,23,711.9609689828897,2026-07-16T22:38:46.540992+10:00
CCL-20260712,2026-07-12,2026-07-12T23:00:00+10:00,24,712.1011953041431,2026-07-16T22:38:46.540992+10:00
