forecast_id,target_date,local_time,forecast_step,intensity_hat,published_at_local,publication_type,reconstructed_at_local
CCL-20260716,2026-07-16,2026-07-16T00:00:00+10:00,1,835.8487921167358,2026-07-19T11:56:27.787499+10:00,retrospective_backfill,2026-07-19T11:57:47.428013+10:00
CCL-20260716,2026-07-16,2026-07-16T01:00:00+10:00,2,854.3421715071789,2026-07-19T11:56:27.787499+10:00,retrospective_backfill,2026-07-19T11:57:47.428013+10:00
CCL-20260716,2026-07-16,2026-07-16T02:00:00+10:00,3,876.6024750474136,2026-07-19T11:56:27.787499+10:00,retrospective_backfill,2026-07-19T11:57:47.428013+10:00
CCL-20260716,2026-07-16,2026-07-16T03:00:00+10:00,4,888.1379223433656,2026-07-19T11:56:27.787499+10:00,retrospective_backfill,2026-07-19T11:57:47.428013+10:00
CCL-20260716,2026-07-16,2026-07-16T04:00:00+10:00,5,913.91316571298,2026-07-19T11:56:27.787499+10:00,retrospective_backfill,2026-07-19T11:57:47.428013+10:00
CCL-20260716,2026-07-16,2026-07-16T05:00:00+10:00,6,906.1583687704624,2026-07-19T11:56:27.787499+10:00,retrospective_backfill,2026-07-19T11:57:47.428013+10:00
CCL-20260716,2026-07-16,2026-07-16T06:00:00+10:00,7,821.4906525492447,2026-07-19T11:56:27.787499+10:00,retrospective_backfill,2026-07-19T11:57:47.428013+10:00
CCL-20260716,2026-07-16,2026-07-16T07:00:00+10:00,8,720.7904451160925,2026-07-19T11:56:27.787499+10:00,retrospective_backfill,2026-07-19T11:57:47.428013+10:00
CCL-20260716,2026-07-16,2026-07-16T08:00:00+10:00,9,701.4593204735995,2026-07-19T11:56:27.787499+10:00,retrospective_backfill,2026-07-19T11:57:47.428013+10:00
CCL-20260716,2026-07-16,2026-07-16T09:00:00+10:00,10,691.1816661511497,2026-07-19T11:56:27.787499+10:00,retrospective_backfill,2026-07-19T11:57:47.428013+10:00
CCL-20260716,2026-07-16,2026-07-16T10:00:00+10:00,11,672.2446055192427,2026-07-19T11:56:27.787499+10:00,retrospective_backfill,2026-07-19T11:57:47.428013+10:00
CCL-20260716,2026-07-16,2026-07-16T11:00:00+10:00,12,649.536399875743,2026-07-19T11:56:27.787499+10:00,retrospective_backfill,2026-07-19T11:57:47.428013+10:00
CCL-20260716,2026-07-16,2026-07-16T12:00:00+10:00,13,633.0590702188055,2026-07-19T11:56:27.787499+10:00,retrospective_backfill,2026-07-19T11:57:47.428013+10:00
CCL-20260716,2026-07-16,2026-07-16T13:00:00+10:00,14,626.3638749944427,2026-07-19T11:56:27.787499+10:00,retrospective_backfill,2026-07-19T11:57:47.428013+10:00
CCL-20260716,2026-07-16,2026-07-16T14:00:00+10:00,15,646.2701537346824,2026-07-19T11:56:27.787499+10:00,retrospective_backfill,2026-07-19T11:57:47.428013+10:00
CCL-20260716,2026-07-16,2026-07-16T15:00:00+10:00,16,679.1122053742454,2026-07-19T11:56:27.787499+10:00,retrospective_backfill,2026-07-19T11:57:47.428013+10:00
CCL-20260716,2026-07-16,2026-07-16T16:00:00+10:00,17,706.9462665409877,2026-07-19T11:56:27.787499+10:00,retrospective_backfill,2026-07-19T11:57:47.428013+10:00
CCL-20260716,2026-07-16,2026-07-16T17:00:00+10:00,18,696.0806698592128,2026-07-19T11:56:27.787499+10:00,retrospective_backfill,2026-07-19T11:57:47.428013+10:00
CCL-20260716,2026-07-16,2026-07-16T18:00:00+10:00,19,697.8907935232435,2026-07-19T11:56:27.787499+10:00,retrospective_backfill,2026-07-19T11:57:47.428013+10:00
CCL-20260716,2026-07-16,2026-07-16T19:00:00+10:00,20,720.7970885544943,2026-07-19T11:56:27.787499+10:00,retrospective_backfill,2026-07-19T11:57:47.428013+10:00
CCL-20260716,2026-07-16,2026-07-16T20:00:00+10:00,21,741.6707586278003,2026-07-19T11:56:27.787499+10:00,retrospective_backfill,2026-07-19T11:57:47.428013+10:00
CCL-20260716,2026-07-16,2026-07-16T21:00:00+10:00,22,770.5580807152704,2026-07-19T11:56:27.787499+10:00,retrospective_backfill,2026-07-19T11:57:47.428013+10:00
CCL-20260716,2026-07-16,2026-07-16T22:00:00+10:00,23,803.8395502394416,2026-07-19T11:56:27.787499+10:00,retrospective_backfill,2026-07-19T11:57:47.428013+10:00
CCL-20260716,2026-07-16,2026-07-16T23:00:00+10:00,24,827.6501136983883,2026-07-19T11:56:27.787499+10:00,retrospective_backfill,2026-07-19T11:57:47.428013+10:00
