forecast_id,target_date,local_time,forecast_step,intensity_hat,published_at_local
CCL-20260812,2026-08-12,2026-08-12T00:00:00+10:00,1,538.7913399439833,2026-08-12T08:03:30.194753+10:00
CCL-20260812,2026-08-12,2026-08-12T01:00:00+10:00,2,539.6621073698645,2026-08-12T08:03:30.194753+10:00
CCL-20260812,2026-08-12,2026-08-12T02:00:00+10:00,3,539.6621073698645,2026-08-12T08:03:30.194753+10:00
CCL-20260812,2026-08-12,2026-08-12T03:00:00+10:00,4,538.8300976048289,2026-08-12T08:03:30.194753+10:00
CCL-20260812,2026-08-12,2026-08-12T04:00:00+10:00,5,535.7910774420282,2026-08-12T08:03:30.194753+10:00
CCL-20260812,2026-08-12,2026-08-12T05:00:00+10:00,6,539.6621073698645,2026-08-12T08:03:30.194753+10:00
CCL-20260812,2026-08-12,2026-08-12T06:00:00+10:00,7,539.2678833266723,2026-08-12T08:03:30.194753+10:00
CCL-20260812,2026-08-12,2026-08-12T07:00:00+10:00,8,527.6365368009878,2026-08-12T08:03:30.194753+10:00
CCL-20260812,2026-08-12,2026-08-12T08:00:00+10:00,9,539.2747466353445,2026-08-12T08:03:30.194753+10:00
CCL-20260812,2026-08-12,2026-08-12T09:00:00+10:00,10,533.4745758982831,2026-08-12T08:03:30.194753+10:00
CCL-20260812,2026-08-12,2026-08-12T10:00:00+10:00,11,507.2455258157471,2026-08-12T08:03:30.194753+10:00
CCL-20260812,2026-08-12,2026-08-12T11:00:00+10:00,12,482.0794938343622,2026-08-12T08:03:30.194753+10:00
CCL-20260812,2026-08-12,2026-08-12T12:00:00+10:00,13,473.12156537754,2026-08-12T08:03:30.194753+10:00
CCL-20260812,2026-08-12,2026-08-12T13:00:00+10:00,14,483.07595292918626,2026-08-12T08:03:30.194753+10:00
CCL-20260812,2026-08-12,2026-08-12T14:00:00+10:00,15,509.9541599613367,2026-08-12T08:03:30.194753+10:00
CCL-20260812,2026-08-12,2026-08-12T15:00:00+10:00,16,545.5596304542146,2026-08-12T08:03:30.194753+10:00
CCL-20260812,2026-08-12,2026-08-12T16:00:00+10:00,17,572.7383231490509,2026-08-12T08:03:30.194753+10:00
CCL-20260812,2026-08-12,2026-08-12T17:00:00+10:00,18,570.0513949917278,2026-08-12T08:03:30.194753+10:00
CCL-20260812,2026-08-12,2026-08-12T18:00:00+10:00,19,566.8588164295127,2026-08-12T08:03:30.194753+10:00
CCL-20260812,2026-08-12,2026-08-12T19:00:00+10:00,20,582.6740537124508,2026-08-12T08:03:30.194753+10:00
CCL-20260812,2026-08-12,2026-08-12T20:00:00+10:00,21,605.0243501324278,2026-08-12T08:03:30.194753+10:00
CCL-20260812,2026-08-12,2026-08-12T21:00:00+10:00,22,631.9919964603026,2026-08-12T08:03:30.194753+10:00
CCL-20260812,2026-08-12,2026-08-12T22:00:00+10:00,23,641.924930686473,2026-08-12T08:03:30.194753+10:00
CCL-20260812,2026-08-12,2026-08-12T23:00:00+10:00,24,639.0459105359374,2026-08-12T08:03:30.194753+10:00
