forecast_id,target_date,local_time,forecast_step,intensity_hat,published_at_local
CCL-20260806,2026-08-06,2026-08-06T00:00:00+10:00,1,947.2214258062584,2026-08-06T08:20:10.855283+10:00
CCL-20260806,2026-08-06,2026-08-06T01:00:00+10:00,2,972.3506511700409,2026-08-06T08:20:10.855283+10:00
CCL-20260806,2026-08-06,2026-08-06T02:00:00+10:00,3,984.6112499597691,2026-08-06T08:20:10.855283+10:00
CCL-20260806,2026-08-06,2026-08-06T03:00:00+10:00,4,986.131352147389,2026-08-06T08:20:10.855283+10:00
CCL-20260806,2026-08-06,2026-08-06T04:00:00+10:00,5,980.7726213910349,2026-08-06T08:20:10.855283+10:00
CCL-20260806,2026-08-06,2026-08-06T05:00:00+10:00,6,951.9063868838844,2026-08-06T08:20:10.855283+10:00
CCL-20260806,2026-08-06,2026-08-06T06:00:00+10:00,7,863.6933821668331,2026-08-06T08:20:10.855283+10:00
CCL-20260806,2026-08-06,2026-08-06T07:00:00+10:00,8,740.3868667661958,2026-08-06T08:20:10.855283+10:00
CCL-20260806,2026-08-06,2026-08-06T08:00:00+10:00,9,728.6164502772895,2026-08-06T08:20:10.855283+10:00
CCL-20260806,2026-08-06,2026-08-06T09:00:00+10:00,10,722.9150853520099,2026-08-06T08:20:10.855283+10:00
CCL-20260806,2026-08-06,2026-08-06T10:00:00+10:00,11,702.9713075096233,2026-08-06T08:20:10.855283+10:00
CCL-20260806,2026-08-06,2026-08-06T11:00:00+10:00,12,687.3519897958485,2026-08-06T08:20:10.855283+10:00
CCL-20260806,2026-08-06,2026-08-06T12:00:00+10:00,13,672.795852475673,2026-08-06T08:20:10.855283+10:00
CCL-20260806,2026-08-06,2026-08-06T13:00:00+10:00,14,678.4095062689505,2026-08-06T08:20:10.855283+10:00
CCL-20260806,2026-08-06,2026-08-06T14:00:00+10:00,15,712.748904936082,2026-08-06T08:20:10.855283+10:00
CCL-20260806,2026-08-06,2026-08-06T15:00:00+10:00,16,736.5980463186202,2026-08-06T08:20:10.855283+10:00
CCL-20260806,2026-08-06,2026-08-06T16:00:00+10:00,17,751.2676851362869,2026-08-06T08:20:10.855283+10:00
CCL-20260806,2026-08-06,2026-08-06T17:00:00+10:00,18,723.342466827905,2026-08-06T08:20:10.855283+10:00
CCL-20260806,2026-08-06,2026-08-06T18:00:00+10:00,19,700.5663112289527,2026-08-06T08:20:10.855283+10:00
CCL-20260806,2026-08-06,2026-08-06T19:00:00+10:00,20,714.0834653139668,2026-08-06T08:20:10.855283+10:00
CCL-20260806,2026-08-06,2026-08-06T20:00:00+10:00,21,745.8587036878823,2026-08-06T08:20:10.855283+10:00
CCL-20260806,2026-08-06,2026-08-06T21:00:00+10:00,22,787.5369353042673,2026-08-06T08:20:10.855283+10:00
CCL-20260806,2026-08-06,2026-08-06T22:00:00+10:00,23,837.4012136686661,2026-08-06T08:20:10.855283+10:00
CCL-20260806,2026-08-06,2026-08-06T23:00:00+10:00,24,862.4037775506334,2026-08-06T08:20:10.855283+10:00
