forecast_id,target_date,local_time,forecast_step,intensity_hat,published_at_local
CCL-20260917,2026-09-17,2026-09-17T00:00:00+10:00,1,849.2695590280862,2026-09-17T04:54:30.774418+10:00
CCL-20260917,2026-09-17,2026-09-17T01:00:00+10:00,2,851.8307073197939,2026-09-17T04:54:30.774418+10:00
CCL-20260917,2026-09-17,2026-09-17T02:00:00+10:00,3,851.8307073197939,2026-09-17T04:54:30.774418+10:00
CCL-20260917,2026-09-17,2026-09-17T03:00:00+10:00,4,853.7003768270904,2026-09-17T04:54:30.774418+10:00
CCL-20260917,2026-09-17,2026-09-17T04:00:00+10:00,5,869.2658913255942,2026-09-17T04:54:30.774418+10:00
CCL-20260917,2026-09-17,2026-09-17T05:00:00+10:00,6,847.3443914073813,2026-09-17T04:54:30.774418+10:00
CCL-20260917,2026-09-17,2026-09-17T06:00:00+10:00,7,757.2478990626281,2026-09-17T04:54:30.774418+10:00
CCL-20260917,2026-09-17,2026-09-17T07:00:00+10:00,8,688.7266301870345,2026-09-17T04:54:30.774418+10:00
CCL-20260917,2026-09-17,2026-09-17T08:00:00+10:00,9,669.0859542207986,2026-09-17T04:54:30.774418+10:00
CCL-20260917,2026-09-17,2026-09-17T09:00:00+10:00,10,660.2424560813395,2026-09-17T04:54:30.774418+10:00
CCL-20260917,2026-09-17,2026-09-17T10:00:00+10:00,11,635.9599466553831,2026-09-17T04:54:30.774418+10:00
CCL-20260917,2026-09-17,2026-09-17T11:00:00+10:00,12,605.3036417669522,2026-09-17T04:54:30.774418+10:00
CCL-20260917,2026-09-17,2026-09-17T12:00:00+10:00,13,567.6962079761141,2026-09-17T04:54:30.774418+10:00
CCL-20260917,2026-09-17,2026-09-17T13:00:00+10:00,14,560.394789289441,2026-09-17T04:54:30.774418+10:00
CCL-20260917,2026-09-17,2026-09-17T14:00:00+10:00,15,566.3436234310394,2026-09-17T04:54:30.774418+10:00
CCL-20260917,2026-09-17,2026-09-17T15:00:00+10:00,16,602.3105926906885,2026-09-17T04:54:30.774418+10:00
CCL-20260917,2026-09-17,2026-09-17T16:00:00+10:00,17,634.2829922981401,2026-09-17T04:54:30.774418+10:00
CCL-20260917,2026-09-17,2026-09-17T17:00:00+10:00,18,660.0561932263737,2026-09-17T04:54:30.774418+10:00
CCL-20260917,2026-09-17,2026-09-17T18:00:00+10:00,19,643.8082648951879,2026-09-17T04:54:30.774418+10:00
CCL-20260917,2026-09-17,2026-09-17T19:00:00+10:00,20,645.2750179497529,2026-09-17T04:54:30.774418+10:00
CCL-20260917,2026-09-17,2026-09-17T20:00:00+10:00,21,661.4590847621076,2026-09-17T04:54:30.774418+10:00
CCL-20260917,2026-09-17,2026-09-17T21:00:00+10:00,22,684.5701369498477,2026-09-17T04:54:30.774418+10:00
CCL-20260917,2026-09-17,2026-09-17T22:00:00+10:00,23,708.6602592440903,2026-09-17T04:54:30.774418+10:00
CCL-20260917,2026-09-17,2026-09-17T23:00:00+10:00,24,732.3368435592596,2026-09-17T04:54:30.774418+10:00
