forecast_id,target_date,local_time,forecast_step,intensity_hat,published_at_local
CCL-20260714,2026-07-14,2026-07-14T00:00:00+10:00,1,582.5808688207733,2026-07-15T17:10:34.221044+10:00
CCL-20260714,2026-07-14,2026-07-14T01:00:00+10:00,2,582.4954542297519,2026-07-15T17:10:34.221044+10:00
CCL-20260714,2026-07-14,2026-07-14T02:00:00+10:00,3,582.4954542297519,2026-07-15T17:10:34.221044+10:00
CCL-20260714,2026-07-14,2026-07-14T03:00:00+10:00,4,581.9542103857206,2026-07-15T17:10:34.221044+10:00
CCL-20260714,2026-07-14,2026-07-14T04:00:00+10:00,5,584.0625429256439,2026-07-15T17:10:34.221044+10:00
CCL-20260714,2026-07-14,2026-07-14T05:00:00+10:00,6,579.7971485127339,2026-07-15T17:10:34.221044+10:00
CCL-20260714,2026-07-14,2026-07-14T06:00:00+10:00,7,579.1223668684439,2026-07-15T17:10:34.221044+10:00
CCL-20260714,2026-07-14,2026-07-14T07:00:00+10:00,8,573.2811237817859,2026-07-15T17:10:34.221044+10:00
CCL-20260714,2026-07-14,2026-07-14T08:00:00+10:00,9,562.9342013104111,2026-07-15T17:10:34.221044+10:00
CCL-20260714,2026-07-14,2026-07-14T09:00:00+10:00,10,548.4519908621529,2026-07-15T17:10:34.221044+10:00
CCL-20260714,2026-07-14,2026-07-14T10:00:00+10:00,11,515.2638342406871,2026-07-15T17:10:34.221044+10:00
CCL-20260714,2026-07-14,2026-07-14T11:00:00+10:00,12,491.53742761814465,2026-07-15T17:10:34.221044+10:00
CCL-20260714,2026-07-14,2026-07-14T12:00:00+10:00,13,472.11570583947923,2026-07-15T17:10:34.221044+10:00
CCL-20260714,2026-07-14,2026-07-14T13:00:00+10:00,14,473.8126888958533,2026-07-15T17:10:34.221044+10:00
CCL-20260714,2026-07-14,2026-07-14T14:00:00+10:00,15,497.4700027024824,2026-07-15T17:10:34.221044+10:00
CCL-20260714,2026-07-14,2026-07-14T15:00:00+10:00,16,544.799542831171,2026-07-15T17:10:34.221044+10:00
CCL-20260714,2026-07-14,2026-07-14T16:00:00+10:00,17,578.2523241622732,2026-07-15T17:10:34.221044+10:00
CCL-20260714,2026-07-14,2026-07-14T17:00:00+10:00,18,590.739633441384,2026-07-15T17:10:34.221044+10:00
CCL-20260714,2026-07-14,2026-07-14T18:00:00+10:00,19,593.0312104971589,2026-07-15T17:10:34.221044+10:00
CCL-20260714,2026-07-14,2026-07-14T19:00:00+10:00,20,602.4596232165012,2026-07-15T17:10:34.221044+10:00
CCL-20260714,2026-07-14,2026-07-14T20:00:00+10:00,21,621.5544544055185,2026-07-15T17:10:34.221044+10:00
CCL-20260714,2026-07-14,2026-07-14T21:00:00+10:00,22,644.9009307981822,2026-07-15T17:10:34.221044+10:00
CCL-20260714,2026-07-14,2026-07-14T22:00:00+10:00,23,659.2909782143738,2026-07-15T17:10:34.221044+10:00
CCL-20260714,2026-07-14,2026-07-14T23:00:00+10:00,24,660.3143896193905,2026-07-15T17:10:34.221044+10:00
