forecast_id,target_date,local_time,forecast_step,intensity_hat,published_at_local
CCL-20260809,2026-08-09,2026-08-09T00:00:00+10:00,1,565.7345717525287,2026-08-09T07:45:01.040275+10:00
CCL-20260809,2026-08-09,2026-08-09T01:00:00+10:00,2,562.4785451309389,2026-08-09T07:45:01.040275+10:00
CCL-20260809,2026-08-09,2026-08-09T02:00:00+10:00,3,562.303029018903,2026-08-09T07:45:01.040275+10:00
CCL-20260809,2026-08-09,2026-08-09T03:00:00+10:00,4,564.1126921975037,2026-08-09T07:45:01.040275+10:00
CCL-20260809,2026-08-09,2026-08-09T04:00:00+10:00,5,563.2360297573204,2026-08-09T07:45:01.040275+10:00
CCL-20260809,2026-08-09,2026-08-09T05:00:00+10:00,6,563.8484498351985,2026-08-09T07:45:01.040275+10:00
CCL-20260809,2026-08-09,2026-08-09T06:00:00+10:00,7,560.6467134499128,2026-08-09T07:45:01.040275+10:00
CCL-20260809,2026-08-09,2026-08-09T07:00:00+10:00,8,545.0849566755896,2026-08-09T07:45:01.040275+10:00
CCL-20260809,2026-08-09,2026-08-09T08:00:00+10:00,9,537.237690050085,2026-08-09T07:45:01.040275+10:00
CCL-20260809,2026-08-09,2026-08-09T09:00:00+10:00,10,539.0921929974583,2026-08-09T07:45:01.040275+10:00
CCL-20260809,2026-08-09,2026-08-09T10:00:00+10:00,11,514.6166153816275,2026-08-09T07:45:01.040275+10:00
CCL-20260809,2026-08-09,2026-08-09T11:00:00+10:00,12,490.02771721226225,2026-08-09T07:45:01.040275+10:00
CCL-20260809,2026-08-09,2026-08-09T12:00:00+10:00,13,491.6450443176775,2026-08-09T07:45:01.040275+10:00
CCL-20260809,2026-08-09,2026-08-09T13:00:00+10:00,14,501.98213594712036,2026-08-09T07:45:01.040275+10:00
CCL-20260809,2026-08-09,2026-08-09T14:00:00+10:00,15,524.3112908449459,2026-08-09T07:45:01.040275+10:00
CCL-20260809,2026-08-09,2026-08-09T15:00:00+10:00,16,568.7304716639837,2026-08-09T07:45:01.040275+10:00
CCL-20260809,2026-08-09,2026-08-09T16:00:00+10:00,17,599.4057713460246,2026-08-09T07:45:01.040275+10:00
CCL-20260809,2026-08-09,2026-08-09T17:00:00+10:00,18,608.0954368191894,2026-08-09T07:45:01.040275+10:00
CCL-20260809,2026-08-09,2026-08-09T18:00:00+10:00,19,613.2290467753223,2026-08-09T07:45:01.040275+10:00
CCL-20260809,2026-08-09,2026-08-09T19:00:00+10:00,20,623.276892138983,2026-08-09T07:45:01.040275+10:00
CCL-20260809,2026-08-09,2026-08-09T20:00:00+10:00,21,642.1692441832204,2026-08-09T07:45:01.040275+10:00
CCL-20260809,2026-08-09,2026-08-09T21:00:00+10:00,22,655.262590200849,2026-08-09T07:45:01.040275+10:00
CCL-20260809,2026-08-09,2026-08-09T22:00:00+10:00,23,668.1712419550116,2026-08-09T07:45:01.040275+10:00
CCL-20260809,2026-08-09,2026-08-09T23:00:00+10:00,24,679.6784516530322,2026-08-09T07:45:01.040275+10:00
