forecast_id,target_date,local_time,forecast_step,intensity_hat,published_at_local,publication_type,reconstructed_at_local
CCL-20260717,2026-07-17,2026-07-17T00:00:00+10:00,1,935.2012877915836,2026-07-19T11:57:49.918588+10:00,retrospective_backfill,2026-07-19T11:58:59.032436+10:00
CCL-20260717,2026-07-17,2026-07-17T01:00:00+10:00,2,952.5879749712902,2026-07-19T11:57:49.918588+10:00,retrospective_backfill,2026-07-19T11:58:59.032436+10:00
CCL-20260717,2026-07-17,2026-07-17T02:00:00+10:00,3,971.0019768166608,2026-07-19T11:57:49.918588+10:00,retrospective_backfill,2026-07-19T11:58:59.032436+10:00
CCL-20260717,2026-07-17,2026-07-17T03:00:00+10:00,4,972.017024074586,2026-07-19T11:57:49.918588+10:00,retrospective_backfill,2026-07-19T11:58:59.032436+10:00
CCL-20260717,2026-07-17,2026-07-17T04:00:00+10:00,5,969.1536068412852,2026-07-19T11:57:49.918588+10:00,retrospective_backfill,2026-07-19T11:58:59.032436+10:00
CCL-20260717,2026-07-17,2026-07-17T05:00:00+10:00,6,946.928057401069,2026-07-19T11:57:49.918588+10:00,retrospective_backfill,2026-07-19T11:58:59.032436+10:00
CCL-20260717,2026-07-17,2026-07-17T06:00:00+10:00,7,865.6047369166193,2026-07-19T11:57:49.918588+10:00,retrospective_backfill,2026-07-19T11:58:59.032436+10:00
CCL-20260717,2026-07-17,2026-07-17T07:00:00+10:00,8,766.9794971112979,2026-07-19T11:57:49.918588+10:00,retrospective_backfill,2026-07-19T11:58:59.032436+10:00
CCL-20260717,2026-07-17,2026-07-17T08:00:00+10:00,9,726.860196346597,2026-07-19T11:57:49.918588+10:00,retrospective_backfill,2026-07-19T11:58:59.032436+10:00
CCL-20260717,2026-07-17,2026-07-17T09:00:00+10:00,10,713.4829617214082,2026-07-19T11:57:49.918588+10:00,retrospective_backfill,2026-07-19T11:58:59.032436+10:00
CCL-20260717,2026-07-17,2026-07-17T10:00:00+10:00,11,691.4513030366402,2026-07-19T11:57:49.918588+10:00,retrospective_backfill,2026-07-19T11:58:59.032436+10:00
CCL-20260717,2026-07-17,2026-07-17T11:00:00+10:00,12,675.607039723634,2026-07-19T11:57:49.918588+10:00,retrospective_backfill,2026-07-19T11:58:59.032436+10:00
CCL-20260717,2026-07-17,2026-07-17T12:00:00+10:00,13,654.7865883876044,2026-07-19T11:57:49.918588+10:00,retrospective_backfill,2026-07-19T11:58:59.032436+10:00
CCL-20260717,2026-07-17,2026-07-17T13:00:00+10:00,14,657.0670355119313,2026-07-19T11:57:49.918588+10:00,retrospective_backfill,2026-07-19T11:58:59.032436+10:00
CCL-20260717,2026-07-17,2026-07-17T14:00:00+10:00,15,681.7253126732297,2026-07-19T11:57:49.918588+10:00,retrospective_backfill,2026-07-19T11:58:59.032436+10:00
CCL-20260717,2026-07-17,2026-07-17T15:00:00+10:00,16,722.9209777934987,2026-07-19T11:57:49.918588+10:00,retrospective_backfill,2026-07-19T11:58:59.032436+10:00
CCL-20260717,2026-07-17,2026-07-17T16:00:00+10:00,17,737.9226046829168,2026-07-19T11:57:49.918588+10:00,retrospective_backfill,2026-07-19T11:58:59.032436+10:00
CCL-20260717,2026-07-17,2026-07-17T17:00:00+10:00,18,705.1500028455138,2026-07-19T11:57:49.918588+10:00,retrospective_backfill,2026-07-19T11:58:59.032436+10:00
CCL-20260717,2026-07-17,2026-07-17T18:00:00+10:00,19,691.5620969664452,2026-07-19T11:57:49.918588+10:00,retrospective_backfill,2026-07-19T11:58:59.032436+10:00
CCL-20260717,2026-07-17,2026-07-17T19:00:00+10:00,20,708.5278330069879,2026-07-19T11:57:49.918588+10:00,retrospective_backfill,2026-07-19T11:58:59.032436+10:00
CCL-20260717,2026-07-17,2026-07-17T20:00:00+10:00,21,732.3928629268538,2026-07-19T11:57:49.918588+10:00,retrospective_backfill,2026-07-19T11:58:59.032436+10:00
CCL-20260717,2026-07-17,2026-07-17T21:00:00+10:00,22,755.2483222812069,2026-07-19T11:57:49.918588+10:00,retrospective_backfill,2026-07-19T11:58:59.032436+10:00
CCL-20260717,2026-07-17,2026-07-17T22:00:00+10:00,23,779.9171269735014,2026-07-19T11:57:49.918588+10:00,retrospective_backfill,2026-07-19T11:58:59.032436+10:00
CCL-20260717,2026-07-17,2026-07-17T23:00:00+10:00,24,820.2619346393719,2026-07-19T11:57:49.918588+10:00,retrospective_backfill,2026-07-19T11:58:59.032436+10:00
