forecast_id,target_date,local_time,forecast_step,intensity_hat,published_at_local
CCL-20260914,2026-09-14,2026-09-14T00:00:00+10:00,1,780.4243082517758,2026-09-14T04:12:13.829844+10:00
CCL-20260914,2026-09-14,2026-09-14T01:00:00+10:00,2,812.5154260446952,2026-09-14T04:12:13.829844+10:00
CCL-20260914,2026-09-14,2026-09-14T02:00:00+10:00,3,821.0587595927028,2026-09-14T04:12:13.829844+10:00
CCL-20260914,2026-09-14,2026-09-14T03:00:00+10:00,4,814.6418759579182,2026-09-14T04:12:13.829844+10:00
CCL-20260914,2026-09-14,2026-09-14T04:00:00+10:00,5,810.0751987018657,2026-09-14T04:12:13.829844+10:00
CCL-20260914,2026-09-14,2026-09-14T05:00:00+10:00,6,782.6367699954142,2026-09-14T04:12:13.829844+10:00
CCL-20260914,2026-09-14,2026-09-14T06:00:00+10:00,7,726.0477319786899,2026-09-14T04:12:13.829844+10:00
CCL-20260914,2026-09-14,2026-09-14T07:00:00+10:00,8,685.6187178973887,2026-09-14T04:12:13.829844+10:00
CCL-20260914,2026-09-14,2026-09-14T08:00:00+10:00,9,662.1473702432472,2026-09-14T04:12:13.829844+10:00
CCL-20260914,2026-09-14,2026-09-14T09:00:00+10:00,10,638.2043100175778,2026-09-14T04:12:13.829844+10:00
CCL-20260914,2026-09-14,2026-09-14T10:00:00+10:00,11,574.285145206871,2026-09-14T04:12:13.829844+10:00
CCL-20260914,2026-09-14,2026-09-14T11:00:00+10:00,12,540.864509172627,2026-09-14T04:12:13.829844+10:00
CCL-20260914,2026-09-14,2026-09-14T12:00:00+10:00,13,518.1724447456428,2026-09-14T04:12:13.829844+10:00
CCL-20260914,2026-09-14,2026-09-14T13:00:00+10:00,14,497.1358100936056,2026-09-14T04:12:13.829844+10:00
CCL-20260914,2026-09-14,2026-09-14T14:00:00+10:00,15,496.03667151645146,2026-09-14T04:12:13.829844+10:00
CCL-20260914,2026-09-14,2026-09-14T15:00:00+10:00,16,528.5527322668878,2026-09-14T04:12:13.829844+10:00
CCL-20260914,2026-09-14,2026-09-14T16:00:00+10:00,17,572.8070187566883,2026-09-14T04:12:13.829844+10:00
CCL-20260914,2026-09-14,2026-09-14T17:00:00+10:00,18,589.3289367713322,2026-09-14T04:12:13.829844+10:00
CCL-20260914,2026-09-14,2026-09-14T18:00:00+10:00,19,584.3219310987743,2026-09-14T04:12:13.829844+10:00
CCL-20260914,2026-09-14,2026-09-14T19:00:00+10:00,20,595.4829732489422,2026-09-14T04:12:13.829844+10:00
CCL-20260914,2026-09-14,2026-09-14T20:00:00+10:00,21,613.5079841968046,2026-09-14T04:12:13.829844+10:00
CCL-20260914,2026-09-14,2026-09-14T21:00:00+10:00,22,640.535963557484,2026-09-14T04:12:13.829844+10:00
CCL-20260914,2026-09-14,2026-09-14T22:00:00+10:00,23,668.2101984350397,2026-09-14T04:12:13.829844+10:00
CCL-20260914,2026-09-14,2026-09-14T23:00:00+10:00,24,689.317027666103,2026-09-14T04:12:13.829844+10:00
