forecast_id,target_date,local_time,forecast_step,intensity_hat,published_at_local
CCL-20260731,2026-07-31,2026-07-31T00:00:00+10:00,1,921.2572646963613,2026-07-31T08:18:10.798519+10:00
CCL-20260731,2026-07-31,2026-07-31T01:00:00+10:00,2,941.7057168320275,2026-07-31T08:18:10.798519+10:00
CCL-20260731,2026-07-31,2026-07-31T02:00:00+10:00,3,962.9860691166693,2026-07-31T08:18:10.798519+10:00
CCL-20260731,2026-07-31,2026-07-31T03:00:00+10:00,4,971.4170660147108,2026-07-31T08:18:10.798519+10:00
CCL-20260731,2026-07-31,2026-07-31T04:00:00+10:00,5,974.3638568061258,2026-07-31T08:18:10.798519+10:00
CCL-20260731,2026-07-31,2026-07-31T05:00:00+10:00,6,957.3249637805252,2026-07-31T08:18:10.798519+10:00
CCL-20260731,2026-07-31,2026-07-31T06:00:00+10:00,7,871.4427573757604,2026-07-31T08:18:10.798519+10:00
CCL-20260731,2026-07-31,2026-07-31T07:00:00+10:00,8,756.5553468596764,2026-07-31T08:18:10.798519+10:00
CCL-20260731,2026-07-31,2026-07-31T08:00:00+10:00,9,727.4697772282312,2026-07-31T08:18:10.798519+10:00
CCL-20260731,2026-07-31,2026-07-31T09:00:00+10:00,10,725.5951834703897,2026-07-31T08:18:10.798519+10:00
CCL-20260731,2026-07-31,2026-07-31T10:00:00+10:00,11,698.9895913225321,2026-07-31T08:18:10.798519+10:00
CCL-20260731,2026-07-31,2026-07-31T11:00:00+10:00,12,684.1540181972721,2026-07-31T08:18:10.798519+10:00
CCL-20260731,2026-07-31,2026-07-31T12:00:00+10:00,13,672.5072501170596,2026-07-31T08:18:10.798519+10:00
CCL-20260731,2026-07-31,2026-07-31T13:00:00+10:00,14,679.4547222014567,2026-07-31T08:18:10.798519+10:00
CCL-20260731,2026-07-31,2026-07-31T14:00:00+10:00,15,713.352701983904,2026-07-31T08:18:10.798519+10:00
CCL-20260731,2026-07-31,2026-07-31T15:00:00+10:00,16,747.6909935434239,2026-07-31T08:18:10.798519+10:00
CCL-20260731,2026-07-31,2026-07-31T16:00:00+10:00,17,759.8143811240243,2026-07-31T08:18:10.798519+10:00
CCL-20260731,2026-07-31,2026-07-31T17:00:00+10:00,18,716.4290115408161,2026-07-31T08:18:10.798519+10:00
CCL-20260731,2026-07-31,2026-07-31T18:00:00+10:00,19,691.5589823951766,2026-07-31T08:18:10.798519+10:00
CCL-20260731,2026-07-31,2026-07-31T19:00:00+10:00,20,704.483939297618,2026-07-31T08:18:10.798519+10:00
CCL-20260731,2026-07-31,2026-07-31T20:00:00+10:00,21,735.0673791101922,2026-07-31T08:18:10.798519+10:00
CCL-20260731,2026-07-31,2026-07-31T21:00:00+10:00,22,769.827124353247,2026-07-31T08:18:10.798519+10:00
CCL-20260731,2026-07-31,2026-07-31T22:00:00+10:00,23,813.8551909366987,2026-07-31T08:18:10.798519+10:00
CCL-20260731,2026-07-31,2026-07-31T23:00:00+10:00,24,835.8407794421396,2026-07-31T08:18:10.798519+10:00
