forecast_id,target_date,local_time,forecast_step,intensity_hat,published_at_local
CCL-20260725,2026-07-25,2026-07-25T00:00:00+10:00,1,579.6984064912848,2026-07-25T08:17:48.150452+10:00
CCL-20260725,2026-07-25,2026-07-25T01:00:00+10:00,2,579.6984064912848,2026-07-25T08:17:48.150452+10:00
CCL-20260725,2026-07-25,2026-07-25T02:00:00+10:00,3,579.6984064912848,2026-07-25T08:17:48.150452+10:00
CCL-20260725,2026-07-25,2026-07-25T03:00:00+10:00,4,580.556262358187,2026-07-25T08:17:48.150452+10:00
CCL-20260725,2026-07-25,2026-07-25T04:00:00+10:00,5,582.0288957583122,2026-07-25T08:17:48.150452+10:00
CCL-20260725,2026-07-25,2026-07-25T05:00:00+10:00,6,584.8750792172062,2026-07-25T08:17:48.150452+10:00
CCL-20260725,2026-07-25,2026-07-25T06:00:00+10:00,7,585.1222826020133,2026-07-25T08:17:48.150452+10:00
CCL-20260725,2026-07-25,2026-07-25T07:00:00+10:00,8,583.6966230215279,2026-07-25T08:17:48.150452+10:00
CCL-20260725,2026-07-25,2026-07-25T08:00:00+10:00,9,580.6083758493006,2026-07-25T08:17:48.150452+10:00
CCL-20260725,2026-07-25,2026-07-25T09:00:00+10:00,10,577.9223496154625,2026-07-25T08:17:48.150452+10:00
CCL-20260725,2026-07-25,2026-07-25T10:00:00+10:00,11,558.8963486426559,2026-07-25T08:17:48.150452+10:00
CCL-20260725,2026-07-25,2026-07-25T11:00:00+10:00,12,524.9095106996144,2026-07-25T08:17:48.150452+10:00
CCL-20260725,2026-07-25,2026-07-25T12:00:00+10:00,13,499.55577429063294,2026-07-25T08:17:48.150452+10:00
CCL-20260725,2026-07-25,2026-07-25T13:00:00+10:00,14,490.65998751883643,2026-07-25T08:17:48.150452+10:00
CCL-20260725,2026-07-25,2026-07-25T14:00:00+10:00,15,514.7292340650247,2026-07-25T08:17:48.150452+10:00
CCL-20260725,2026-07-25,2026-07-25T15:00:00+10:00,16,562.9433963258552,2026-07-25T08:17:48.150452+10:00
CCL-20260725,2026-07-25,2026-07-25T16:00:00+10:00,17,592.8371079625606,2026-07-25T08:17:48.150452+10:00
CCL-20260725,2026-07-25,2026-07-25T17:00:00+10:00,18,593.0528720585646,2026-07-25T08:17:48.150452+10:00
CCL-20260725,2026-07-25,2026-07-25T18:00:00+10:00,19,591.7571643032117,2026-07-25T08:17:48.150452+10:00
CCL-20260725,2026-07-25,2026-07-25T19:00:00+10:00,20,600.9354852237402,2026-07-25T08:17:48.150452+10:00
CCL-20260725,2026-07-25,2026-07-25T20:00:00+10:00,21,624.0403315180795,2026-07-25T08:17:48.150452+10:00
CCL-20260725,2026-07-25,2026-07-25T21:00:00+10:00,22,645.803698405073,2026-07-25T08:17:48.150452+10:00
CCL-20260725,2026-07-25,2026-07-25T22:00:00+10:00,23,667.4619396272134,2026-07-25T08:17:48.150452+10:00
CCL-20260725,2026-07-25,2026-07-25T23:00:00+10:00,24,678.9145355435764,2026-07-25T08:17:48.150452+10:00
