forecast_id,target_date,local_time,forecast_step,intensity_hat,published_at_local
CCL-20260817,2026-08-17,2026-08-17T00:00:00+10:00,1,940.1715566775332,2026-08-17T07:33:42.959328+10:00
CCL-20260817,2026-08-17,2026-08-17T01:00:00+10:00,2,968.4911440867153,2026-08-17T07:33:42.959328+10:00
CCL-20260817,2026-08-17,2026-08-17T02:00:00+10:00,3,994.4066163410657,2026-08-17T07:33:42.959328+10:00
CCL-20260817,2026-08-17,2026-08-17T03:00:00+10:00,4,1000.9307988756993,2026-08-17T07:33:42.959328+10:00
CCL-20260817,2026-08-17,2026-08-17T04:00:00+10:00,5,991.8975883143615,2026-08-17T07:33:42.959328+10:00
CCL-20260817,2026-08-17,2026-08-17T05:00:00+10:00,6,966.425780885413,2026-08-17T07:33:42.959328+10:00
CCL-20260817,2026-08-17,2026-08-17T06:00:00+10:00,7,895.6347653896029,2026-08-17T07:33:42.959328+10:00
CCL-20260817,2026-08-17,2026-08-17T07:00:00+10:00,8,790.1680184614283,2026-08-17T07:33:42.959328+10:00
CCL-20260817,2026-08-17,2026-08-17T08:00:00+10:00,9,754.9543379205393,2026-08-17T07:33:42.959328+10:00
CCL-20260817,2026-08-17,2026-08-17T09:00:00+10:00,10,738.994009249426,2026-08-17T07:33:42.959328+10:00
CCL-20260817,2026-08-17,2026-08-17T10:00:00+10:00,11,716.1885372026906,2026-08-17T07:33:42.959328+10:00
CCL-20260817,2026-08-17,2026-08-17T11:00:00+10:00,12,696.3349049518098,2026-08-17T07:33:42.959328+10:00
CCL-20260817,2026-08-17,2026-08-17T12:00:00+10:00,13,686.266166140941,2026-08-17T07:33:42.959328+10:00
CCL-20260817,2026-08-17,2026-08-17T13:00:00+10:00,14,694.0991042799375,2026-08-17T07:33:42.959328+10:00
CCL-20260817,2026-08-17,2026-08-17T14:00:00+10:00,15,720.7582096189691,2026-08-17T07:33:42.959328+10:00
CCL-20260817,2026-08-17,2026-08-17T15:00:00+10:00,16,750.4434528108761,2026-08-17T07:33:42.959328+10:00
CCL-20260817,2026-08-17,2026-08-17T16:00:00+10:00,17,762.7212447308243,2026-08-17T07:33:42.959328+10:00
CCL-20260817,2026-08-17,2026-08-17T17:00:00+10:00,18,737.0457542935769,2026-08-17T07:33:42.959328+10:00
CCL-20260817,2026-08-17,2026-08-17T18:00:00+10:00,19,702.7726953335961,2026-08-17T07:33:42.959328+10:00
CCL-20260817,2026-08-17,2026-08-17T19:00:00+10:00,20,707.9870727022516,2026-08-17T07:33:42.959328+10:00
CCL-20260817,2026-08-17,2026-08-17T20:00:00+10:00,21,735.4267771540326,2026-08-17T07:33:42.959328+10:00
CCL-20260817,2026-08-17,2026-08-17T21:00:00+10:00,22,771.5722496155413,2026-08-17T07:33:42.959328+10:00
CCL-20260817,2026-08-17,2026-08-17T22:00:00+10:00,23,812.4739796604994,2026-08-17T07:33:42.959328+10:00
CCL-20260817,2026-08-17,2026-08-17T23:00:00+10:00,24,845.4361951786858,2026-08-17T07:33:42.959328+10:00
