forecast_id,target_date,local_time,forecast_step,intensity_hat,published_at_local
CCL-20260724,2026-07-24,2026-07-24T00:00:00+10:00,1,675.6595822345911,2026-07-24T08:14:23.365303+10:00
CCL-20260724,2026-07-24,2026-07-24T01:00:00+10:00,2,657.3603980625373,2026-07-24T08:14:23.365303+10:00
CCL-20260724,2026-07-24,2026-07-24T02:00:00+10:00,3,638.3445812453151,2026-07-24T08:14:23.365303+10:00
CCL-20260724,2026-07-24,2026-07-24T03:00:00+10:00,4,623.8235398866595,2026-07-24T08:14:23.365303+10:00
CCL-20260724,2026-07-24,2026-07-24T04:00:00+10:00,5,620.4759929971667,2026-07-24T08:14:23.365303+10:00
CCL-20260724,2026-07-24,2026-07-24T05:00:00+10:00,6,617.7108934270188,2026-07-24T08:14:23.365303+10:00
CCL-20260724,2026-07-24,2026-07-24T06:00:00+10:00,7,603.151174406023,2026-07-24T08:14:23.365303+10:00
CCL-20260724,2026-07-24,2026-07-24T07:00:00+10:00,8,591.9754934510344,2026-07-24T08:14:23.365303+10:00
CCL-20260724,2026-07-24,2026-07-24T08:00:00+10:00,9,584.9408571129338,2026-07-24T08:14:23.365303+10:00
CCL-20260724,2026-07-24,2026-07-24T09:00:00+10:00,10,578.8043441243732,2026-07-24T08:14:23.365303+10:00
CCL-20260724,2026-07-24,2026-07-24T10:00:00+10:00,11,560.8845692477724,2026-07-24T08:14:23.365303+10:00
CCL-20260724,2026-07-24,2026-07-24T11:00:00+10:00,12,530.9572564878292,2026-07-24T08:14:23.365303+10:00
CCL-20260724,2026-07-24,2026-07-24T12:00:00+10:00,13,499.39257791597856,2026-07-24T08:14:23.365303+10:00
CCL-20260724,2026-07-24,2026-07-24T13:00:00+10:00,14,488.94778550040445,2026-07-24T08:14:23.365303+10:00
CCL-20260724,2026-07-24,2026-07-24T14:00:00+10:00,15,506.1990862372616,2026-07-24T08:14:23.365303+10:00
CCL-20260724,2026-07-24,2026-07-24T15:00:00+10:00,16,543.3277299722488,2026-07-24T08:14:23.365303+10:00
CCL-20260724,2026-07-24,2026-07-24T16:00:00+10:00,17,571.4833418264553,2026-07-24T08:14:23.365303+10:00
CCL-20260724,2026-07-24,2026-07-24T17:00:00+10:00,18,566.5759212615643,2026-07-24T08:14:23.365303+10:00
CCL-20260724,2026-07-24,2026-07-24T18:00:00+10:00,19,559.3969702903757,2026-07-24T08:14:23.365303+10:00
CCL-20260724,2026-07-24,2026-07-24T19:00:00+10:00,20,568.4623991617553,2026-07-24T08:14:23.365303+10:00
CCL-20260724,2026-07-24,2026-07-24T20:00:00+10:00,21,579.9659024636122,2026-07-24T08:14:23.365303+10:00
CCL-20260724,2026-07-24,2026-07-24T21:00:00+10:00,22,605.9952505304385,2026-07-24T08:14:23.365303+10:00
CCL-20260724,2026-07-24,2026-07-24T22:00:00+10:00,23,637.3443078977804,2026-07-24T08:14:23.365303+10:00
CCL-20260724,2026-07-24,2026-07-24T23:00:00+10:00,24,638.4407926999851,2026-07-24T08:14:23.365303+10:00
