forecast_id,target_date,local_time,forecast_step,intensity_hat,published_at_local
CCL-20260920,2026-09-20,2026-09-20T00:00:00+10:00,1,740.4196181880975,2026-09-20T04:00:34.656186+10:00
CCL-20260920,2026-09-20,2026-09-20T01:00:00+10:00,2,754.3362497335954,2026-09-20T04:00:34.656186+10:00
CCL-20260920,2026-09-20,2026-09-20T02:00:00+10:00,3,765.2500641592594,2026-09-20T04:00:34.656186+10:00
CCL-20260920,2026-09-20,2026-09-20T03:00:00+10:00,4,781.030452667024,2026-09-20T04:00:34.656186+10:00
CCL-20260920,2026-09-20,2026-09-20T04:00:00+10:00,5,791.4004161625813,2026-09-20T04:00:34.656186+10:00
CCL-20260920,2026-09-20,2026-09-20T05:00:00+10:00,6,775.5528255287117,2026-09-20T04:00:34.656186+10:00
CCL-20260920,2026-09-20,2026-09-20T06:00:00+10:00,7,725.0679464887131,2026-09-20T04:00:34.656186+10:00
CCL-20260920,2026-09-20,2026-09-20T07:00:00+10:00,8,695.0535039544036,2026-09-20T04:00:34.656186+10:00
CCL-20260920,2026-09-20,2026-09-20T08:00:00+10:00,9,661.0340142816709,2026-09-20T04:00:34.656186+10:00
CCL-20260920,2026-09-20,2026-09-20T09:00:00+10:00,10,630.7888284170236,2026-09-20T04:00:34.656186+10:00
CCL-20260920,2026-09-20,2026-09-20T10:00:00+10:00,11,604.9112318327179,2026-09-20T04:00:34.656186+10:00
CCL-20260920,2026-09-20,2026-09-20T11:00:00+10:00,12,566.2252249396374,2026-09-20T04:00:34.656186+10:00
CCL-20260920,2026-09-20,2026-09-20T12:00:00+10:00,13,544.5678509645353,2026-09-20T04:00:34.656186+10:00
CCL-20260920,2026-09-20,2026-09-20T13:00:00+10:00,14,525.5363679097826,2026-09-20T04:00:34.656186+10:00
CCL-20260920,2026-09-20,2026-09-20T14:00:00+10:00,15,540.1025952264644,2026-09-20T04:00:34.656186+10:00
CCL-20260920,2026-09-20,2026-09-20T15:00:00+10:00,16,564.0692974551547,2026-09-20T04:00:34.656186+10:00
CCL-20260920,2026-09-20,2026-09-20T16:00:00+10:00,17,608.2816015539544,2026-09-20T04:00:34.656186+10:00
CCL-20260920,2026-09-20,2026-09-20T17:00:00+10:00,18,626.0090444110932,2026-09-20T04:00:34.656186+10:00
CCL-20260920,2026-09-20,2026-09-20T18:00:00+10:00,19,629.0921658794248,2026-09-20T04:00:34.656186+10:00
CCL-20260920,2026-09-20,2026-09-20T19:00:00+10:00,20,645.5290759824202,2026-09-20T04:00:34.656186+10:00
CCL-20260920,2026-09-20,2026-09-20T20:00:00+10:00,21,663.9195034427877,2026-09-20T04:00:34.656186+10:00
CCL-20260920,2026-09-20,2026-09-20T21:00:00+10:00,22,684.4172435204688,2026-09-20T04:00:34.656186+10:00
CCL-20260920,2026-09-20,2026-09-20T22:00:00+10:00,23,705.5988801559781,2026-09-20T04:00:34.656186+10:00
CCL-20260920,2026-09-20,2026-09-20T23:00:00+10:00,24,737.4553958268352,2026-09-20T04:00:34.656186+10:00
